الصحراء الغربية
البوسنة والهرسك
الجبل الاسود
اكروتيري ودكليا
كومنولث استراليا
غينيا الاستوائية
جزر سليمان
سان مارينو
جزر كوك
جزر كوكس
كوريا الجنوبية
فلسطين المحتلة
بوركينا فاسو
جمهورية مقدونيا
جنوب السودان
ارض الصومال
سانت لوسيا
المغرب العربي
جزر المالديف
تيمور الشرقية
ساحل العاج
غينيا بيساو
غينيا الجديدة
ساو توميه
انتيغوا وباربودا
الراس الاخضر
قبرص الشمالية
جزر القمر
جزر كايمان
كوريا الشمالية
ترينيداد وتوباغو
الامارات العربية
بريطانيا العظمى
جنوب افريقيا
سانت فنسنت
الاراضي المحتلة
جزر فارو
سلطنة عمان
جزر مارشال
جبل طارق
سانت كيتس
افريقيا الوسطى
جنوب اوستيا
